"effect","mode","method","num_trials","num_detections","total_savings","detection_rate","average_savings"
0,"non-sequential","ttest",7692,385,0,0.0500520020800832,0
0,"stream","YEAST",7692,322,89.6766655618164,0.0418616744669787,0.0116584328603505
0,"stream","YEAST-non-robust",7692,1275,556.10109380179,0.165756630265211,0.0722960340355942
0,"stream","pYEAST6",7692,124,55.6718594630428,0.016120644825793,0.00723763123544498
0,"stream","pYEAST6-non-robust",7692,1028,636.863523367583,0.133645345813833,0.0827955698605802
0,"stream","mSPRTphi100",7692,13,8.036294332118,0.00169006760270411,0.00104476005357748
0,"stream","mSPRTphi25",7692,4,2.16937354988399,0.000520020800832033,0.000282029842678626
0,"stream","mSPRTphi11",7692,2,0.763258203513424,0.000260010400416017,9.92275355581674e-05
0,"stream","mSPRTphi100-non-robust",7692,758,620.09695061319,0.0985439417576703,0.0806158282128432
0,"stream","mSPRTphi25-non-robust",7692,563,453.488979118331,0.0731929277171087,0.058955925522404
0,"stream","mSPRTphi11-non-robust",7692,432,336.812893602918,0.0561622464898596,0.043787427665486
0,"stream","GAVI250",7692,6,3.63506794829301,0.00078003120124805,0.000472577736387546
0,"stream","GAVI500",7692,11,6.75447464368578,0.00143005720228809,0.000878116828352285
0,"stream","GAVI750",7692,13,8.07731189923765,0.00169006760270411,0.00105009255060292
0,"stream","GAVI10K",7692,26,12.8143851508121,0.00338013520540822,0.00166593670707385
0,"stream","GAVI250-non-robust",7692,625,507.375207159432,0.0812532501300052,0.0659614153873416
0,"stream","GAVI500-non-robust",7692,734,601.449950281736,0.0954238169526781,0.0781916212014737
0,"stream","GAVI750-non-robust",7692,771,630.137388133906,0.100234009360374,0.0819211373028999
0,"stream","GAVI10K-non-robust",7692,567,348.655203844879,0.0737129485179407,0.0453269895794175
0,"stream","LanDeMetsOBF",7692,191,46.8613689095127,0.0248309932397296,0.00609222164710254
0,"stream","LanDeMetsOBF-non-robust",7692,1037,409.033476963872,0.134815392615705,0.0531764790644659
0,"stream","SeqC2ST_QDA",7692,1848,1416.86460059662,0.240249609984399,0.184199766068204
0,"stream","Classical",7692,312,311.974146503148,0.0405616224648986,0.0405582613758643
0,"stream","Classical-non-robust",7692,1140,1139.90553529999,0.14820592823713,0.148193647334891
0.05,"non-sequential","ttest",7692,679,0,0.0882735309412376,0
0.05,"stream","YEAST",7692,899,241.490967848857,0.116874674986999,0.0313950816236163
0.05,"stream","YEAST-non-robust",7692,2486,1064.21345707657,0.323192927717109,0.138353283551296
0.05,"stream","pYEAST6",7692,389,146.250580046404,0.0505720228809152,0.0190133359394701
0.05,"stream","pYEAST6-non-robust",7692,1963,1117.18230029831,0.25520020800832,0.145239508619125
0.05,"stream","mSPRTphi100",7692,46,21.5778919456414,0.00598023920956838,0.00280523816245988
0.05,"stream","mSPRTphi25",7692,17,7.73152137885317,0.00221008840353614,0.0010051379847703
0.05,"stream","mSPRTphi11",7692,9,4.10962877030162,0.00117004680187207,0.000534273111063654
0.05,"stream","mSPRTphi100-non-robust",7692,1269,959.112363274768,0.164976599063963,0.124689594809512
0.05,"stream","mSPRTphi25-non-robust",7692,989,732.879267484253,0.12857514300572,0.0952781158975888
0.05,"stream","mSPRTphi11-non-robust",7692,808,578.056844547564,0.105044201768071,0.0751503958070157
0.05,"stream","GAVI250",7692,23,10.7634239310573,0.00299011960478419,0.00139930108308078
0.05,"stream","GAVI500",7692,41,19.0446635730859,0.00533021320852834,0.00247590530071319
0.05,"stream","GAVI750",7692,49,23.5317368246603,0.00637025481019241,0.00305924815713212
0.05,"stream","GAVI10K",7692,90,37.2711302618495,0.0117004680187207,0.00484544075167051
0.05,"stream","GAVI250-non-robust",7692,1093,826.756380510435,0.142095683827353,0.107482628771507
0.05,"stream","GAVI500-non-robust",7692,1227,930.795989393429,0.159516380655226,0.121008318953904
0.05,"stream","GAVI750-non-robust",7692,1291,968.001242956571,0.167836713468539,0.12584519539217
0.05,"stream","GAVI10K-non-robust",7692,1187,660.225720914816,0.154316172646906,0.0858327770300073
0.05,"stream","LanDeMetsOBF",7692,609,142.887968180312,0.0791731669266771,0.0185761789105969
0.05,"stream","LanDeMetsOBF-non-robust",7692,2100,822.636890951278,0.273010920436817,0.106947073706614
0.05,"stream","SeqC2ST_QDA",7692,1854,1398.64990056347,0.241029641185647,0.181831760343665
0.05,"stream","Classical",7692,912,911.924428239984,0.118564742589704,0.118554917867913
0.05,"stream","Classical-non-robust",7692,2325,2324.80734173019,0.302262090483619,0.302237043906682
0.1,"non-sequential","ttest",7692,1686,0,0.219188767550702,0
0.1,"stream","YEAST",7692,1977,557.133990719257,0.257020280811232,0.0724303160061436
0.1,"stream","YEAST-non-robust",7692,4050,1783.57167716275,0.526521060842434,0.231873592974877
0.1,"stream","pYEAST6",7692,969,364.519224395095,0.12597503900156,0.0473893947471523
