"effect","mode","method","num_trials","num_detections","total_savings","detection_rate","average_savings"
0,"non-sequential","ttest",7692,379,0,0.0492719708788352,0
0,"stream","YEAST",7692,357,96.9796155120981,0.046411856474259,0.012607854330746
0,"stream","YEAST-non-robust",7692,1360,578.912744448128,0.176807072282891,0.0752616672449464
0,"stream","pYEAST6",7692,145,62.9028007954922,0.0188507540301612,0.00817769121106243
0,"stream","pYEAST6-non-robust",7692,1066,636.074080212131,0.138585543421737,0.0826929381451028
0,"stream","mSPRTphi100",7692,16,7.27212462711303,0.00208008320332813,0.000945414018085417
0,"stream","mSPRTphi25",7692,6,3.70285051375539,0.00078003120124805,0.000481389822381095
0,"stream","mSPRTphi11",7692,4,2.27759363606231,0.000520020800832033,0.000296099016648767
0,"stream","mSPRTphi100-non-robust",7692,777,630.341481604241,0.101014040561622,0.081947670515372
0,"stream","mSPRTphi25-non-robust",7692,580,468.7854656944,0.0754030161206448,0.0609445483222048
0,"stream","mSPRTphi11-non-robust",7692,454,356.596204839245,0.0590223608944358,0.046359361003542
0,"stream","GAVI250",7692,9,4.81985415976135,0.00117004680187207,0.000626606105013176
0,"stream","GAVI500",7692,13,6.00812064965197,0.00169006760270411,0.000781086927931874
0,"stream","GAVI750",7692,16,7.61799801126947,0.00208008320332813,0.000990379356639297
0,"stream","GAVI10K",7692,33,15.2283725555187,0.00429017160686427,0.00197976762292235
0,"stream","GAVI250-non-robust",7692,657,537.38747099768,0.0854134165366615,0.0698631657563287
0,"stream","GAVI500-non-robust",7692,758,617.095044746435,0.0985439417576703,0.0802255648396302
0,"stream","GAVI750-non-robust",7692,787,637.133659264168,0.102314092563703,0.0828306889318992
0,"stream","GAVI10K-non-robust",7692,590,349.930062976467,0.0767030681227249,0.0454927278960566
0,"stream","LanDeMetsOBF",7692,216,50.4923765329798,0.0280811232449298,0.00656427152014818
0,"stream","LanDeMetsOBF-non-robust",7692,1100,423.496271130261,0.143005720228809,0.0550567175156346
0,"stream","SeqC2ST_QDA",7692,1881,1426.60855154127,0.244539781591264,0.18546653036158
0,"stream","Classical",7692,341,340.971743453761,0.0443317732709308,0.0443280997729798
0,"stream","Classical-non-robust",7692,1217,1216.89915478955,0.158216328653146,0.158203218251371
0.05,"non-sequential","ttest",7692,690,0,0.0897035881435257,0
0.05,"stream","YEAST",7692,866,234.415727543918,0.112584503380135,0.030475263591253
0.05,"stream","YEAST-non-robust",7692,2456,1051.84479615512,0.319292771710868,0.136745293311899
