"effect","mode","method","num_trials","num_detections","total_savings","detection_rate","average_savings"
0,"non-sequential","ttest",7692,371,0,0.0482319292771711,0
0,"stream","YEAST",7692,346,89.4250911501492,0.0449817992719709,0.0116257268785945
0,"stream","YEAST-non-robust",7692,1307,560.248922770964,0.169916796671867,0.0728352733711602
0,"stream","pYEAST6",7692,122,46.7164401723567,0.015860634425377,0.00607338015761267
0,"stream","pYEAST6-non-robust",7692,1027,633.949453099104,0.133515340613625,0.0824167255719064
0,"stream","mSPRTphi100",7692,6,3.57001988730527,0.00078003120124805,0.000464121150195693
0,"stream","mSPRTphi25",7692,4,1.80145840238648,0.000520020800832033,0.000234198960268653
0,"stream","mSPRTphi11",7692,1,0.655618163738813,0.000130005200208008,8.52337706368712e-05
0,"stream","mSPRTphi100-non-robust",7692,735,582.340818694067,0.0955538221528861,0.0757073347236177
0,"stream","mSPRTphi25-non-robust",7692,529,414.954756380512,0.0687727509100364,0.0539462761805137
0,"stream","mSPRTphi11-non-robust",7692,409,310.436692078224,0.0531721268850754,0.0403583843055413
0,"stream","GAVI250",7692,4,1.86136890951276,0.000520020800832033,0.000241987637742169
0,"stream","GAVI500",7692,6,3.50986078886311,0.00078003120124805,0.000456300154558386
0,"stream","GAVI750",7692,6,3.59272456082201,0.00078003120124805,0.000467072875821894
0,"stream","GAVI10K",7692,21,8.95840238647663,0.00273010920436817,0.00116463889579779
0,"stream","GAVI250-non-robust",7692,584,463.497182631755,0.0759230369214769,0.060257044023889
0,"stream","GAVI500-non-robust",7692,707,565.488481935698,0.0919136765470619,0.0735164433093732
0,"stream","GAVI750-non-robust",7692,748,590.272124627113,0.0972438897555902,0.0767384457393543
0,"stream","GAVI10K-non-robust",7692,579,342.564965197216,0.0752730109204368,0.0445352268847134
0,"stream","LanDeMetsOBF",7692,197,44.0627278753729,0.0256110244409776,0.00572838375914884
0,"stream","LanDeMetsOBF-non-robust",7692,1016,400.476052369904,0.132085283411336,0.0520639693668622
