"effect","mode","method","num_trials","num_detections","total_savings","detection_rate","average_savings"
0,"non-sequential","ttest",7692,386,0,0.0501820072802912,0
0,"stream","YEAST",7692,341,93.8967517401392,0.0443317732709308,0.0122070660088584
0,"stream","YEAST-non-robust",7692,1278,551.543669207821,0.166146645865835,0.0717035451388223
0,"stream","pYEAST6",7692,130,54.0662081537952,0.0169006760270411,0.00702888821552199
0,"stream","pYEAST6-non-robust",7692,1035,631.824991713622,0.134555382215289,0.0821405345441526
0,"stream","mSPRTphi100",7692,19,8.58186940669539,0.00247009880395216,0.00111568765037642
0,"stream","mSPRTphi25",7692,8,4.03762015246934,0.00104004160166407,0.000524911616285666
0,"stream","mSPRTphi11",7692,4,2.10863440503812,0.000520020800832033,0.000274133437992475
0,"stream","mSPRTphi100-non-robust",7692,725,591.87313556513,0.094253770150806,0.0769465854868864
0,"stream","mSPRTphi25-non-robust",7692,548,440.286045740803,0.0712428497139886,0.0572394755253254
0,"stream","mSPRTphi11-non-robust",7692,434,341.422605236991,0.0564222568902756,0.0443867141493748
0,"stream","GAVI250",7692,9,4.89509446470003,0.00117004680187207,0.000636387735920441
0,"stream","GAVI500",7692,18,7.4651143520053,0.00234009360374415,0.000970503685908126
0,"stream","GAVI750",7692,20,8.90420947961551,0.00260010400416017,0.00115759353609146
0,"stream","GAVI10K",7692,38,15.748011269473,0.00494019760790432,0.00204732335796581
0,"stream","GAVI250-non-robust",7692,613,499.547149486246,0.0796931877275091,0.0649437271822993
0,"stream","GAVI500-non-robust",7692,700,573.801209811071,0.0910036401456058,0.0745971411610857
0,"stream","GAVI750-non-robust",7692,738,600.088995691083,0.0959438377535101,0.0780146900274419
0,"stream","GAVI10K-non-robust",7692,556,338.820682797481,0.0722828913156526,0.0440484507017006
0,"stream","LanDeMetsOBF",7692,198,49.5458236658933,0.0257410296411856,0.00644121472515513
0,"stream","LanDeMetsOBF-non-robust",7692,1013,401.825157441167,0.131695267810712,0.0522393600417534
0,"stream","SeqC2ST_QDA",7692,1865,1412.6412827312,0.242459698387936,0.183650712783567
0,"stream","Classical",7692,332,331.972489227709,0.0431617264690588,0.0431581499255992
0,"stream","Classical-non-robust",7692,1124,1123.90686112034,0.146125845033801,0.146113736495104
0.05,"non-sequential","ttest",7692,708,0,0.0920436817472699,0
0.05,"stream","YEAST",7692,896,249.981107059994,0.116484659386375,0.032498843871554
0.05,"stream","YEAST-non-robust",7692,2450,1060.79408352668,0.31851274050962,0.137908747208357
